"id","name","title","department","profile_url","keywords_top5","freetext_top5","global_health_interests_top5"
"dilys.walker","Dilys Walker, MD","Professor","Ob/Gyn, Reproductive Sciences","https://profiles.ucsf.edu/dilys.walker","Infant Mortality; Infant Welfare; Mentors; Mentoring; Maternal Health Services","simulation and team training; reproductive health and family planning; quality improvement; obstetric complications; global maternal health","Reproductive health; Maternal health; Newborn & infant health; Nutrition & food security; Child & adolescent health"
"elizabeth.fair","Elizabeth Fair, PhD, MPH","Professor","Medicine","https://profiles.ucsf.edu/elizabeth.fair","Infectious Disease Medicine; Guidelines as Topic; Global Health; Tuberculosis, Pulmonary; One Health","","Epidemiology & surveillance; Child & adolescent health; Guideline development & reviews; Tuberculosis; Zoonosis & emerging diseases"
"felicia.chow","Felicia Chow, MD","Professor","Neurology","https://profiles.ucsf.edu/felicia.chow","Neurosyphilis; Tuberculosis, Meningeal; HIV Infections; Encephalitis; Anti-Retroviral Agents","","HIV/AIDS; Education; Tuberculosis; Cardiovascular health; Infectious disease"
"greta.davis","Greta Davis, MD","RESIDENT","Surgery","https://profiles.ucsf.edu/greta.davis","Gender Dysphoria; Cerebral Ventricles; Craniosynostoses; Osteogenesis, Distraction; Surgery, Plastic","Surgical Systems Strengthening; Craniofacial Surgery; Global Surgery; Perioperative Health Equity; Pediatric Plastic Surgery","Surgery, anesthesia & pain"
"jenny.x.liu","Jenny Liu, PhD, MPP, MA","Professor","Institute for Health & Aging","https://profiles.ucsf.edu/jenny.x.liu","Commerce; Health Personnel; Community Health Workers; House Calls; Mali","","Child & adolescent health; Epidemiology & surveillance; Reproductive health; Health economics; HIV/AIDS"
"kimberly.baltzell","Kimberly Baltzell, RN, PhD, MS","Professor","Family Health Care Nursing","https://profiles.ucsf.edu/kimberly.baltzell","Malaria; Fever of Unknown Origin; Mobile Health Units; Carcinoma, Ductal, Breast; Antimalarials","quality of care in global health; global cancer; portable pulse oximetry; global health nursing education; viral etiology of breast cancer","Oncology; Epidemiology & surveillance; Malaria; Implementation science; Newborn & infant health"
"michael.potter","Michael Potter, MD","Professor","Family Community Medicine","https://profiles.ucsf.edu/michael.potter","Influenza Vaccines; Immunization Programs; Occult Blood; Self Care; Diabetes Mellitus, Type 2","cancer screening; chronic pain; Clinic; diabetes; Older adults","Oncology"
"michael.j.reid","Mike Reid, MD, MPH, MA","Associate Professor","Epidemiology & Biostatistics","https://profiles.ucsf.edu/michael.j.reid","Carrier State; International Cooperation; Botswana; Coinfection; Disease Eradication","Sub-Saharan Africa; HIV; Global Health; Global Health Security; Pandemic Preparedness","Non-communicable diseases; Diabetes; HIV/AIDS; Infectious disease; Policy & standards of care"
"miranda.rouse","Miranda Rouse","Program Coordinator","GHS - Programs","https://profiles.ucsf.edu/miranda.rouse","Infant, Newborn, Diseases; Longitudinal Studies; Infant, Newborn; Malawi; Mentors","women's health; family planning; maternal health; nursing and midwifery mentorship; sub-Saharan Africa","Newborn & infant health; Maternal health"
"paul.wesson","Paul Wesson, PhD","Associate Professor","Epidemiology & Biostatistics","https://profiles.ucsf.edu/paul.wesson","Herpes Genitalis; Crime Victims; Health Services; Population Surveillance; Homophobia","hard-to-reach populations; population size estimation; study design; female sex workers (FSW); people who inject drugs (PWID)","Child & adolescent health; COVID-19"
"payam.nahid","Payam Nahid, MD, MPH","Professor","Medicine","https://profiles.ucsf.edu/payam.nahid","Tuberculosis, Multidrug-Resistant; Latent Tuberculosis; Clinical Trials as Topic; Directly Observed Therapy; Pyrazinamide","","Tuberculosis; Immunization & immunology"
"susie.welty","Susie Welty","Academic Program Manager","Pandemic Prep & Response","https://profiles.ucsf.edu/susie.welty","HIV Antigens; Immunoassay; HIV Infections; Sexual and Gender Minorities; AIDS Serodiagnosis","","Cardiovascular health"
"kirsten.bibbins-domingo","Kirsten Bibbins-Domingo, PhD, MD, MAS","Professor","Epidemiology & Biostatistics","https://profiles.ucsf.edu/kirsten.bibbins-domingo","Coronary Disease; Hypertension; Sodium, Dietary; Cost-Benefit Analysis; Preventive Health Services","Hypertension; Health disparities; Simulation Modeling; Health of young adults; Cardiovascular disease","Cardiovascular health"
"alice.pressman","Alice Pressman, PhD","Associate Professor","Epidemiology & Biostatistics","https://profiles.ucsf.edu/alice.pressman","Electronic Health Records; Neurologists; Acupuncture Therapy; Mindfulness; Health Status Disparities","",""
"alicia.fernandez","Alicia Fernandez, MD","Professor","Medicine","https://profiles.ucsf.edu/alicia.fernandez","Emigration and Immigration; Language; Prejudice; Medical Errors; Communication","","Cardiovascular health; Diabetes; Non-communicable diseases; Nutrition & food security; Human rights & refugee health"
"alison.huang","Alison Huang, MD, MPhil, MAS","Professor","Medicine","https://profiles.ucsf.edu/alison.huang","Hot Flashes; Estrogen Replacement Therapy; Urinary Bladder, Overactive; Yoga; Vaginal Diseases","interpersonal trauma",""
"diane.havlir","Diane Havlir, MD","Professor","Medicine","https://profiles.ucsf.edu/diane.havlir","Kenya; Rural Population; CD4 Lymphocyte Count; Anti-Retroviral Agents; Tuberculosis","COVID-19; Drug Resistance; HIV/AIDS; Antiretroviral therapy; Tuberculosis","Infectious disease; HIV/AIDS; Epidemiology & surveillance; Tuberculosis; Education"
"george.rutherford","George Rutherford, III, MD, MA","Professor","Epidemiology & Biostatistics","https://profiles.ucsf.edu/george.rutherford","Kenya; Masks; Reverse Transcriptase Inhibitors; HIV Infections; Population Surveillance","Chlamydia; International (public health); Decision aids; Implementation Science; Interdisciplinary research collaboration","Child & adolescent health; Memory & aging; Epidemiology & surveillance; Implementation science; Health economics"
"margot.kushel","Margot Kushel, MD","Professor","Medicine","https://profiles.ucsf.edu/margot.kushel","Poverty; Food Supply; Health Services Accessibility; Chronic Pain; Opioid-Related Disorders","",""
"dean.schillinger","Dean Schillinger, MD","Professor","Medicine","https://profiles.ucsf.edu/dean.schillinger","Patient Education as Topic; Dietary Sucrose; Language; Health Literacy; Beverages","Department of public health; Social marketing; International (public health); limited English proficiency; Web site","Child & adolescent health; Non-communicable diseases; Nutrition & food security; Education; Diabetes"
